0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
-0.13321306,-0.12354424,0.06287159,0.5325318,0.2773349,-0.36632612,-0.124124415,0.401387,-0.18762107,0.07468968,-0.036992628,-0.27440003,0.09610399,0.14615531,-0.118177116,-0.21768211,-0.1135598,0.09704662,0.31768462,-0.49335283,0.28751522,-0.3481887,-0.19032839,-0.028181314,0.053942047,-0.13694416,-0.07362532,-0.14425229,-0.3453641,0.18800627,0.07585131,0.18663114,-0.008223397,-0.09660196,0.19423553,0.19174564,0.22199006,-0.10828,-0.1154206,-0.275213,-0.22935274,-0.0045226947,-0.053583074,-0.062639,0.18608561,-0.000500826,-0.13570607,-0.06241981,0.17492563,0.26267168,-0.23827624,-0.06643441,-0.061741155,-0.14904688,0.04067027,-0.080929644,0.25848898,-0.18302953,-0.4309898,0.11095514,-0.19666642,-0.26225662,-0.08665425,0.00084444036,-0.72526205,-0.2162692,-0.02703164,0.40859708,-0.28646588,0.3965796,-0.24084322,0.1459938,0.30045182,0.007121374,-0.14275339,0.19641544,0.051714413,-0.13891172,-0.53809303,0.021083612,-0.101770625,-0.122197054,-0.1001653,0.37222525,-0.30705076,0.21528064,0.1920472,0.37848037,0.17599908,0.12961051,0.21631484,0.21102853,0.027837465,0.26382044,0.31502256,0.13974734,0.041265763,-0.37806752,0.444725,0.32618976,-0.3019353,0.1672622,0.21342342,-0.28832412,-0.26390663,-0.23645261,-0.15510231,0.17046127,-0.26759344,-0.24435128,0.15537721,-0.49825713,0.13519098,0.019237658,0.39977992,-0.036168672,0.19678183,-0.651557,0.045108065,-0.45927495,0.030601483,0.37240523,0.21597342,-0.023202356,-0.24503979,-0.059038915,-0.24015433,0.1686419,0.07014515,-0.30611235,0.3643262,0.2596859,-0.23457061,-0.065505356,0.021089181,0.34112892,0.13052447,-0.3449646,-0.13245133,-0.2004249,0.20735508,-0.5025889,-0.025653262,-0.2489633,-0.03964193,-0.0019461721,-0.25979033,0.037754778,0.16967061,0.08755305,0.3568401,-0.114027016,-0.036355328,0.38631362,-0.5398518,0.40145716,0.3456744,0.40604866,-0.05126329,0.05613654,0.17212547,0.18590254,-0.10806499,-0.03816826,0.024986478,0.13274965,0.38479084,-0.3477779,-0.33374238,0.022154858,-0.07845193,0.16350774,-0.065511316,-0.07484749,0.17612055,-0.042810082,-0.24973178,0.3047717,0.039163258,0.30814233,-0.022450723,-0.02797301,-0.24467027,0.08777037,-0.04160849,0.179412,-0.1825914,0.2249398,0.3274027,0.10255208,0.15888363,0.01906321,0.019292895,-0.21267754,0.4056341,0.103057444,0.27092132,-0.44026554,-0.09657117,-0.034415543
-0.13925079,-0.13146047,0.0642931,0.5617593,0.2931169,-0.38539112,-0.12749708,0.42391536,-0.19884633,0.07877241,-0.038369257,-0.28890017,0.10114331,0.15458846,-0.12605357,-0.22956616,-0.11803036,0.102486484,0.33285624,-0.5245176,0.30438727,-0.3663084,-0.19964433,-0.031104159,0.058181804,-0.1458042,-0.07637706,-0.14850697,-0.36710525,0.19973296,0.08027806,0.19572072,-0.0074433093,-0.1041381,0.20312297,0.20289594,0.2338625,-0.11435669,-0.121949725,-0.2901508,-0.24230854,-0.0052849846,-0.055298585,-0.06388709,0.19834748,-0.0006268139,-0.14511885,-0.065471865,0.18461439,0.27629644,-0.25227934,-0.06915105,-0.066234864,-0.15731393,0.041033775,-0.08765969,0.27145687,-0.19419378,-0.45784068,0.117228076,-0.20742874,-0.2788488,-0.09030326,0.0012808329,-0.7693269,-0.22501424,-0.02832493,0.4339196,-0.30609572,0.42046282,-0.25471693,0.15741552,0.31860477,0.0073341625,-0.1477236,0.20715782,0.057155885,-0.14756772,-0.56862086,0.022325758,-0.107693896,-0.12839799,-0.10570336,0.3946704,-0.32366094,0.2268311,0.20321278,0.39871925,0.18481356,0.1375941,0.2284085,0.2240741,0.03274413,0.27693316,0.33395055,0.14890562,0.04529763,-0.39881518,0.4698665,0.34418184,-0.3191612,0.17946398,0.22597691,-0.3027041,-0.27930066,-0.25023913,-0.16419342,0.1798718,-0.28258175,-0.26064596,0.16348152,-0.5276887,0.14180343,0.018786214,0.42390734,-0.03874579,0.21084362,-0.6890742,0.043727808,-0.48336458,0.031874724,0.3933767,0.22892009,-0.022947332,-0.25982887,-0.06427973,-0.2543122,0.17757258,0.07369074,-0.32078254,0.38628775,0.27395728,-0.247225,-0.07255104,0.021962201,0.3616739,0.13812105,-0.36261046,-0.13853024,-0.21039826,0.22086373,-0.53023696,-0.027897185,-0.26293045,-0.04023633,-0.0023257113,-0.27461237,0.039004628,0.18037255,0.09117001,0.3778995,-0.123341195,-0.03942138,0.40406772,-0.57067364,0.42463085,0.36608958,0.42965907,-0.05359487,0.0608679,0.18194123,0.19947316,-0.11192779,-0.04178876,0.026627777,0.14073892,0.40641934,-0.3647132,-0.35365033,0.021926504,-0.08097703,0.17085385,-0.06877957,-0.07469131,0.1854421,-0.045780845,-0.26407787,0.32339126,0.04189186,0.3241989,-0.02576429,-0.028550375,-0.25627002,0.09247846,-0.044033416,0.18894535,-0.18899938,0.23845923,0.3449887,0.104933664,0.16683134,0.020136664,0.020951178,-0.22674099,0.42697856,0.10696407,0.28796566,-0.4653678,-0.101721935,-0.03543957
-0.113412924,-0.10510149,0.05280803,0.45179185,0.23591101,-0.31197512,-0.10440317,0.3425957,-0.16011421,0.06329738,-0.03123824,-0.23304704,0.08177584,0.124137156,-0.10212973,-0.18565896,-0.095496535,0.08257907,0.2697821,-0.42148983,0.24464515,-0.29700065,-0.1623631,-0.025341362,0.046173785,-0.11758473,-0.061956476,-0.12243766,-0.29477018,0.1614039,0.065625414,0.1593232,-0.0053271707,-0.08326826,0.16470675,0.16375409,0.18910135,-0.092646666,-0.097887754,-0.23488915,-0.19551508,-0.004403059,-0.043980755,-0.05235188,0.15965392,-0.00014391576,-0.11653257,-0.05267145,0.14820352,0.22359304,-0.20322235,-0.056429394,-0.05309511,-0.12671551,0.03392711,-0.07010727,0.21915162,-0.15589575,-0.36781552,0.094739035,-0.16700228,-0.22300647,-0.07313075,-3.346559e-05,-0.61853415,-0.18290833,-0.02265058,0.34892744,-0.2451473,0.33797854,-0.2051412,0.12525153,0.25678855,0.0071280603,-0.11948671,0.16663325,0.04514024,-0.119014986,-0.4593829,0.017601006,-0.08662913,-0.10306371,-0.086917356,0.31753036,-0.2606078,0.18327357,0.16371872,0.3227703,0.14940922,0.11081342,0.18469267,0.18095864,0.024837011,0.22449955,0.2692992,0.1194288,0.035736542,-0.3217478,0.37959078,0.27708516,-0.25641227,0.14442782,0.1820833,-0.24603806,-0.22475064,-0.20187981,-0.1309431,0.14566353,-0.22740026,-0.2083656,0.1317457,-0.42441273,0.115144,0.015312466,0.34036067,-0.03077556,0.16809829,-0.5546132,0.036858346,-0.39101323,0.02614793,0.31775165,0.184992,-0.018726123,-0.2087628,-0.05091175,-0.20384999,0.1437292,0.059549592,-0.2593827,0.30997115,0.22059761,-0.19966792,-0.05690983,0.017320512,0.2907928,0.11090755,-0.29360494,-0.11252371,-0.17084034,0.1769036,-0.4281884,-0.02237549,-0.2124055,-0.033082284,-0.0015443813,-0.22098067,0.03204809,0.14433247,0.07352118,0.3038869,-0.098580174,-0.031445164,0.3274215,-0.46119392,0.34225988,0.294916,0.3468097,-0.044139463,0.04859577,0.14782503,0.1591753,-0.09116837,-0.032084305,0.021066438,0.11429375,0.32730147,-0.29436326,-0.28423238,0.017642869,-0.06639529,0.13917102,-0.05602998,-0.06264746,0.15005903,-0.03687116,-0.21401665,0.26122016,0.03317794,0.26268193,-0.018779831,-0.02418362,-0.20796174,0.074846044,-0.034706853,0.15397245,-0.15374184,0.19181645,0.27942294,0.08629673,0.13540444,0.015690358,0.016382989,-0.1817618,0.34465677,0.087680615,0.23062874,-0.37528706,-0.08252108,-0.029793913
-0.14663896,-0.13734423,0.06570855,0.5879832,0.30815402,-0.40438503,-0.1329375,0.4465531,-0.21021838,0.08252688,-0.039957643,-0.3029683,0.10766234,0.16314502,-0.1338498,-0.24072772,-0.12261213,0.10892818,0.3507419,-0.5522311,0.3187126,-0.38665396,-0.20886624,-0.03260596,0.061279975,-0.1540781,-0.08024512,-0.15695879,-0.38553888,0.21161948,0.085485786,0.20714827,-0.006783008,-0.10933359,0.21450426,0.21417718,0.24560007,-0.12114491,-0.12845953,-0.30691132,-0.2540799,-0.007403047,-0.05701364,-0.06588767,0.21001804,0.00058946863,-0.15342343,-0.070210256,0.19299768,0.28943083,-0.26365343,-0.07570673,-0.070553675,-0.16593586,0.043145075,-0.09328736,0.2839559,-0.20591025,-0.48184678,0.12178399,-0.21733345,-0.29328918,-0.0934302,0.0017408838,-0.809508,-0.23578495,-0.030026881,0.45535085,-0.32261014,0.44220942,-0.27002072,0.1662081,0.3348089,0.011133519,-0.1545012,0.21792513,0.060869742,-0.15464185,-0.5984799,0.022888776,-0.112778954,-0.13512966,-0.11345789,0.41460615,-0.3408107,0.23797497,0.21453488,0.41956472,0.19333833,0.14369154,0.24091297,0.23641042,0.034177165,0.2921877,0.35239008,0.15573509,0.049947795,-0.41865426,0.49511126,0.36065763,-0.33433077,0.19000313,0.2384429,-0.32001147,-0.2945394,-0.26353458,-0.17153026,0.19081412,-0.29785442,-0.27435765,0.1723428,-0.55540216,0.15001148,0.017231947,0.4453292,-0.04193197,0.22097942,-0.72580224,0.045024723,-0.5101173,0.03282551,0.41433883,0.24157968,-0.02386217,-0.27516228,-0.06803402,-0.26765484,0.18651852,0.077778794,-0.33725485,0.40539113,0.28748754,-0.260464,-0.077210985,0.021718914,0.3819305,0.14449911,-0.38245586,-0.14691152,-0.22248103,0.23381622,-0.55786943,-0.02958591,-0.27667302,-0.041662235,-0.0037073044,-0.28928402,0.041816175,0.19005215,0.09581864,0.39717045,-0.13095443,-0.039192364,0.42553353,-0.60278994,0.44676724,0.38573194,0.4523281,-0.05652672,0.063676745,0.1952501,0.20942965,-0.11698525,-0.04229107,0.02809792,0.1500467,0.42714489,-0.38013366,-0.37304032,0.01967032,-0.0840567,0.18302155,-0.07193636,-0.079730116,0.19566043,-0.0475722,-0.27861372,0.34062886,0.043360453,0.3408836,-0.02610209,-0.032005385,-0.27213848,0.09840889,-0.045721464,0.20008747,-0.19842808,0.25325042,0.36428148,0.1109648,0.17721586,0.021846546,0.0203322,-0.23688059,0.45064571,0.11180336,0.30124277,-0.49142498,-0.10547918,-0.039029017
-0.1380778,-0.12941061,0.06365442,0.5564935,0.2904501,-0.3822281,-0.12636091,0.42112175,-0.19738062,0.07772555,-0.03765999,-0.2869936,0.10128887,0.15416601,-0.12605493,-0.22679946,-0.11719166,0.102311805,0.3309012,-0.5197472,0.3013191,-0.36395818,-0.198053,-0.029734248,0.057130095,-0.14462316,-0.07578526,-0.1504044,-0.3632493,0.19807887,0.08002639,0.19538991,-0.0070366147,-0.102607615,0.20239894,0.20234305,0.23233332,-0.114436254,-0.12134773,-0.29008546,-0.23944345,-0.006405978,-0.054348905,-0.06360473,0.1978488,0.0007103822,-0.14431792,-0.06612203,0.18288493,0.27472103,-0.24934913,-0.07136206,-0.06629093,-0.15623163,0.04114888,-0.08628992,0.2692852,-0.1939388,-0.4549909,0.11578601,-0.20487541,-0.27511585,-0.08915251,0.0011563171,-0.76236206,-0.22373077,-0.030039668,0.42956027,-0.30201364,0.41602165,-0.25331,0.15572931,0.31588998,0.008939634,-0.14672874,0.20435047,0.05687752,-0.14672622,-0.5647243,0.022074495,-0.10617299,-0.1277795,-0.10736305,0.39046004,-0.3223977,0.22515605,0.20200485,0.39629158,0.18326184,0.1356338,0.22704971,0.22325535,0.03106936,0.27727976,0.3321287,0.1475345,0.045145568,-0.39646763,0.4656379,0.3417766,-0.31566885,0.17760843,0.2257741,-0.30197963,-0.27742907,-0.24863431,-0.16149709,0.18024838,-0.28111684,-0.2579455,0.1625483,-0.5241163,0.14246081,0.01840883,0.41946962,-0.03963109,0.20768094,-0.6843186,0.045345146,-0.4816481,0.031932723,0.39103082,0.22688764,-0.02440823,-0.25875852,-0.063237526,-0.2529392,0.17655747,0.072793625,-0.31980863,0.38273498,0.27223906,-0.24565364,-0.07099863,0.02085367,0.35921958,0.13588303,-0.36163095,-0.13882285,-0.21010567,0.22000274,-0.5275229,-0.02734461,-0.26080608,-0.040459942,-0.0030485878,-0.27371973,0.03883789,0.17841627,0.09087128,0.37511075,-0.12135612,-0.037527878,0.40281692,-0.56727403,0.42157957,0.3633293,0.42617896,-0.053440813,0.060348243,0.18194373,0.19658244,-0.11282925,-0.039392963,0.026357098,0.14097196,0.40266424,-0.36087456,-0.35060117,0.020761846,-0.08047239,0.17153877,-0.067747146,-0.076635525,0.18568115,-0.04566775,-0.26193234,0.3200129,0.0418956,0.32291546,-0.025123965,-0.028883306,-0.2570388,0.09265777,-0.043321617,0.18905072,-0.18825556,0.23749691,0.34461713,0.105637126,0.16697925,0.020064956,0.020226113,-0.22464903,0.42479384,0.10693459,0.28408214,-0.46233732,-0.10012089,-0.03721499
-0.11351531,-0.10583677,0.053430464,0.45548114,0.23776042,-0.3133636,-0.105790526,0.3434546,-0.16048066,0.064536385,-0.03187187,-0.23467062,0.081645034,0.12493909,-0.10186613,-0.18706462,-0.09678021,0.08301262,0.27122715,-0.4228212,0.24612607,-0.2984465,-0.16309689,-0.024651345,0.04567452,-0.11773785,-0.06314469,-0.12294628,-0.29677972,0.16135623,0.06549356,0.15936169,-0.00653614,-0.083128095,0.1657425,0.16407661,0.19028875,-0.09276312,-0.09885397,-0.23565985,-0.19659881,-0.0039627207,-0.04537335,-0.05277825,0.16018362,-0.0009429919,-0.116102755,-0.053816125,0.14977561,0.22500034,-0.20391978,-0.05662637,-0.053118866,-0.12760435,0.034453265,-0.07001846,0.22081745,-0.15659927,-0.3695059,0.09475263,-0.16851586,-0.22447456,-0.0740615,0.0006596648,-0.6201746,-0.18444254,-0.022386268,0.35036406,-0.2458032,0.33928004,-0.2057755,0.12540899,0.25754544,0.0062499847,-0.121194035,0.16806248,0.044728424,-0.119586065,-0.46065804,0.017642824,-0.08716657,-0.1046288,-0.086453095,0.319422,-0.26267055,0.18403934,0.16386394,0.32406232,0.15041089,0.11115092,0.18525976,0.181198,0.024747102,0.22538105,0.27027538,0.12023174,0.035805166,-0.32344842,0.38117287,0.27866673,-0.25870174,0.14380924,0.18298003,-0.24644375,-0.22590913,-0.20255366,-0.1322533,0.14559607,-0.22868936,-0.2096369,0.1323841,-0.42613026,0.11514203,0.015760103,0.34174448,-0.0307604,0.16862987,-0.5577149,0.037742823,-0.3926259,0.02572622,0.31925368,0.18532321,-0.019760951,-0.20939635,-0.050527953,-0.20530929,0.14362445,0.05953469,-0.26148912,0.31157857,0.22272357,-0.20028643,-0.05670182,0.017707288,0.2922071,0.11070579,-0.29516837,-0.113382995,-0.17224121,0.17804362,-0.43036288,-0.022705501,-0.2131128,-0.033591196,-0.0020893351,-0.2225424,0.03229245,0.14512944,0.074348286,0.3052546,-0.09852779,-0.03158476,0.32956892,-0.46256387,0.34392035,0.29548037,0.34742472,-0.044520594,0.04838695,0.14782864,0.15959433,-0.09241091,-0.033023063,0.021490239,0.113966845,0.32958505,-0.29753307,-0.28574848,0.018604461,-0.06745205,0.13980548,-0.05597846,-0.063308254,0.1510294,-0.036023356,-0.21423727,0.26125073,0.03390975,0.2638457,-0.019207798,-0.024043126,-0.20851764,0.07501979,-0.035496347,0.15326159,-0.15469503,0.19242647,0.28023937,0.08701984,0.135661,0.0162562,0.016409967,-0.1821798,0.34686095,0.0880215,0.23180197,-0.37668687,-0.08271801,-0.029418
-0.14711538,-0.13716665,0.067169994,0.5913423,0.3077369,-0.40574956,-0.13349833,0.44632053,-0.21046266,0.08249218,-0.039604906,-0.30420658,0.107868314,0.16328807,-0.13294907,-0.24088557,-0.12374526,0.10849478,0.35118213,-0.5521187,0.3198168,-0.38609514,-0.20957457,-0.032246232,0.061368648,-0.15362158,-0.081303395,-0.15845391,-0.385616,0.21008408,0.0851371,0.20800269,-0.007620981,-0.108821124,0.2147005,0.21484523,0.24604258,-0.12157797,-0.12877217,-0.30751017,-0.25472194,-0.0065242616,-0.05752724,-0.06814221,0.2096767,0.00072627875,-0.15312141,-0.069881424,0.1936227,0.291068,-0.264461,-0.07527887,-0.07077867,-0.16571037,0.044090517,-0.09227415,0.28562367,-0.20566387,-0.4822504,0.122650385,-0.2180672,-0.29338798,-0.09481637,0.00134336,-0.81026655,-0.23753227,-0.03135689,0.4558754,-0.3218847,0.442553,-0.2700976,0.16538078,0.335097,0.0097556105,-0.15607657,0.21786813,0.059988134,-0.1554635,-0.599354,0.023437627,-0.112578824,-0.13570563,-0.1127353,0.41492966,-0.341578,0.23876725,0.21446754,0.42022774,0.19468372,0.14463636,0.24077977,0.23620631,0.032978844,0.29367062,0.35259676,0.15638758,0.048335038,-0.42026165,0.4950189,0.36204523,-0.3353093,0.18802413,0.23919305,-0.3195436,-0.29453087,-0.263876,-0.17200372,0.1906102,-0.2983485,-0.27423593,0.17212765,-0.5564192,0.15022223,0.019270495,0.4456915,-0.040710967,0.22119962,-0.7266027,0.04663794,-0.51104397,0.03363128,0.41557202,0.24127881,-0.025798116,-0.2744496,-0.066915356,-0.26904306,0.18792911,0.07747654,-0.3389843,0.4064363,0.28884953,-0.26067773,-0.075532414,0.021946594,0.38184655,0.14495438,-0.3832284,-0.14724284,-0.22220878,0.2341457,-0.5588344,-0.029254999,-0.27734104,-0.04233276,-0.003021092,-0.29047608,0.042027287,0.19041647,0.0964852,0.39782053,-0.12979029,-0.039638255,0.4273524,-0.6027366,0.4477574,0.38528055,0.45268986,-0.05626839,0.06395289,0.1936368,0.20954934,-0.11876444,-0.04274715,0.02773388,0.14994338,0.42774597,-0.38343456,-0.3726355,0.02159573,-0.085564665,0.18249504,-0.07208645,-0.081326544,0.19609113,-0.048258577,-0.2778003,0.33931622,0.04433766,0.3417792,-0.026384493,-0.031095784,-0.27276146,0.09857883,-0.04637717,0.1998858,-0.20002466,0.25236753,0.36512157,0.111865185,0.17645808,0.02125763,0.02091403,-0.23783508,0.450902,0.112772636,0.30201957,-0.4911439,-0.10577819,-0.038702764
-0.14508325,-0.13658354,0.06540825,0.58754516,0.30410907,-0.40370497,-0.13005932,0.44475782,-0.21092898,0.08096638,-0.036575396,-0.30246142,0.11076877,0.16485527,-0.13511023,-0.23774108,-0.118853904,0.10955558,0.34979957,-0.553787,0.3188841,-0.38565454,-0.20720707,-0.032109745,0.0613619,-0.1552722,-0.08088034,-0.15897383,-0.3859067,0.21119393,0.085882634,0.20999718,-0.0061705485,-0.108918935,0.21432072,0.21726617,0.24396527,-0.12575176,-0.1303931,-0.31095526,-0.2532805,-0.008763706,-0.05410761,-0.06760707,0.2128656,0.004687642,-0.15639554,-0.07218905,0.1906405,0.2911783,-0.26325926,-0.07901019,-0.07569095,-0.16489616,0.04320444,-0.0947427,0.28398216,-0.20901266,-0.4860306,0.120918386,-0.21775435,-0.2935784,-0.0941186,0.001658178,-0.812079,-0.2344934,-0.03425214,0.4536486,-0.3227314,0.4424799,-0.2734142,0.16683939,0.33414233,0.0132747,-0.15405133,0.21697554,0.06289993,-0.15488909,-0.60029745,0.024802841,-0.110572435,-0.13536544,-0.11580973,0.41498345,-0.34261647,0.23921235,0.21524782,0.419465,0.1933282,0.1451901,0.23978814,0.23732145,0.031479098,0.29569647,0.35398307,0.15686691,0.05133134,-0.42126086,0.4952701,0.3617468,-0.33224458,0.18787307,0.24300033,-0.31864074,-0.29648775,-0.26449952,-0.17020023,0.19174528,-0.29936454,-0.2746292,0.17132561,-0.5576068,0.15097092,0.01617588,0.44498613,-0.040948857,0.2220177,-0.7272717,0.04453524,-0.5129312,0.03303631,0.41710854,0.24162921,-0.028529944,-0.27686402,-0.066285685,-0.27120844,0.18909603,0.07651721,-0.3370456,0.40510672,0.28950813,-0.25970554,-0.07708663,0.020566475,0.38344616,0.14334977,-0.3861554,-0.14851357,-0.22300777,0.23862019,-0.55940074,-0.03036209,-0.27705973,-0.03999232,-0.0057734023,-0.29279932,0.042355403,0.19232349,0.09501761,0.39822602,-0.13244295,-0.036950976,0.4251842,-0.6054357,0.44852868,0.38402364,0.45240822,-0.05537882,0.06575909,0.19841774,0.2105063,-0.11958377,-0.039421998,0.028229404,0.15455121,0.42672828,-0.37750655,-0.37372255,0.017242046,-0.08414774,0.18437278,-0.07066855,-0.08142499,0.19642706,-0.048365105,-0.27667367,0.33804083,0.044646677,0.34058216,-0.027529215,-0.032518618,-0.27693617,0.1005391,-0.04623932,0.20139629,-0.19523683,0.25479272,0.36661485,0.110610455,0.17642727,0.02069639,0.019552939,-0.2371461,0.45092645,0.11058407,0.3012792,-0.4924446,-0.103702605,-0.040610407
-0.11770559,-0.1104594,0.05424766,0.47275332,0.24641174,-0.32541803,-0.108156204,0.35711733,-0.16720434,0.06650963,-0.03224546,-0.2436942,0.08649887,0.13007306,-0.10688049,-0.1933267,-0.099066995,0.086505465,0.2813283,-0.44115517,0.25559384,-0.3095896,-0.16884953,-0.026031464,0.048134137,-0.1227872,-0.06498756,-0.1274135,-0.30847585,0.16851367,0.06847701,0.16616094,-0.006106104,-0.08677363,0.17224152,0.17182896,0.19682471,-0.097057216,-0.10274438,-0.24576724,-0.20393206,-0.0050214226,-0.04616317,-0.05411481,0.1681677,0.00011799755,-0.1215718,-0.05603935,0.15484433,0.23309968,-0.21181646,-0.059883833,-0.05656689,-0.13280943,0.03466378,-0.07358174,0.22906145,-0.16378129,-0.38589913,0.09834232,-0.17477438,-0.23395815,-0.07629921,0.0012741615,-0.647013,-0.19024241,-0.024446908,0.36443657,-0.25681722,0.35319307,-0.21561585,0.131595,0.26845172,0.007622804,-0.12540582,0.17415567,0.047442824,-0.12445532,-0.4797127,0.018614084,-0.090241075,-0.108541094,-0.09044004,0.33189136,-0.27279812,0.19127536,0.17092788,0.33681077,0.156226,0.11550389,0.19241308,0.18913671,0.026106775,0.23453055,0.2814008,0.12508996,0.038183335,-0.33625397,0.3958743,0.28933844,-0.26825026,0.15019673,0.19114543,-0.25600547,-0.23526528,-0.2111964,-0.13767616,0.15221414,-0.23787159,-0.21865079,0.13778536,-0.44401175,0.119844206,0.015148699,0.3559096,-0.03253169,0.17651452,-0.58058286,0.03809739,-0.40837774,0.026691563,0.33199042,0.19281133,-0.02049722,-0.21878281,-0.05390793,-0.21384506,0.15036885,0.06186806,-0.2712394,0.3243041,0.23089719,-0.20824277,-0.05984385,0.017588867,0.30456516,0.11537232,-0.30713838,-0.118279055,-0.17807712,0.18631075,-0.44705606,-0.023300022,-0.2216889,-0.033735476,-0.0025956142,-0.23151954,0.033262953,0.15132968,0.07679106,0.3178627,-0.10362821,-0.03217597,0.34178516,-0.48168322,0.35773695,0.30790287,0.36174938,-0.045165602,0.050696127,0.15456247,0.16705589,-0.09559615,-0.033305578,0.02214574,0.11942642,0.34183297,-0.3067959,-0.29774696,0.017793253,-0.068846874,0.14561781,-0.057721052,-0.06493483,0.15706673,-0.038149845,-0.22213133,0.27160534,0.034911945,0.2735985,-0.020681737,-0.025220454,-0.21750154,0.07890094,-0.036818177,0.16016997,-0.15998384,0.20106897,0.29188094,0.09002812,0.14089175,0.01677224,0.0172099,-0.18949464,0.36038432,0.09082658,0.24146238,-0.39222473,-0.085459895,-0.030639356
